,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Roncesvalles,43.646231,-79.449048,The Ace,43.646144199851925,-79.44886018312049,American Restaurant
1,Roncesvalles,43.646231,-79.449048,Barque Smokehouse,43.648056674430094,-79.4495705745465,BBQ Joint
2,Roncesvalles,43.646231,-79.449048,Café Polonez,43.645113109705804,-79.44851660549037,Eastern European Restaurant
3,Roncesvalles,43.646231,-79.449048,Ed's Real Scoop,43.64493193175704,-79.44846130053051,Ice Cream Shop
4,Roncesvalles,43.646231,-79.449048,Pizzeria Defina,43.648722638277675,-79.44985455915354,Pizza Place
5,Roncesvalles,43.646231,-79.449048,The Mercantile,43.64794843787414,-79.44956275902172,Gourmet Shop
6,Roncesvalles,43.646231,-79.449048,The Dizzy Gastro Sports Pub,43.6483056117907,-79.44964625984929,Gastropub
7,Roncesvalles,43.646231,-79.449048,Lit Espresso Bar,43.64584589665229,-79.44882985644458,Coffee Shop
8,Roncesvalles,43.646231,-79.449048,Mabel's Bakery,43.648707235576516,-79.44992146507896,Bakery
9,Roncesvalles,43.646231,-79.449048,Barque Butcher Bar,43.64764077822067,-79.44948581202844,Butcher
10,Roncesvalles,43.646231,-79.449048,Sushi On Roncy,43.647862405268434,-79.44949300964225,Sushi Restaurant
11,Roncesvalles,43.646231,-79.449048,The Chocolateria,43.64992822697901,-79.45043667719423,Dessert Shop
12,Roncesvalles,43.646231,-79.449048,Inter Steer,43.64979631005809,-79.45030983497107,Eastern European Restaurant
13,Roncesvalles,43.646231,-79.449048,Qi Natural Food,43.64581683069303,-79.44881046692572,Food & Drink Shop
14,Roncesvalles,43.646231,-79.449048,Aris Place,43.646075591799324,-79.44884027778438,American Restaurant
15,Roncesvalles,43.646231,-79.449048,Domani Restaurant & Wine Bar,43.649235,-79.450229,Italian Restaurant
16,Roncesvalles,43.646231,-79.449048,De La Mer,43.64777348396022,-79.4495822604021,Fish Market
17,Roncesvalles,43.646231,-79.449048,Benna's Bakery & Deli,43.643169747266086,-79.44784946879638,Bakery
18,Roncesvalles,43.646231,-79.449048,Another Story Bookshop,43.64854385366879,-79.4498274688279,Bookstore
19,Roncesvalles,43.646231,-79.449048,Village Juicery,43.6420643539707,-79.44736659362817,Juice Bar
20,Roncesvalles,43.646231,-79.449048,Extra Butter,43.64753717441561,-79.44946908275794,Café
21,Roncesvalles,43.646231,-79.449048,Sweetpea's,43.64413493852084,-79.44817274684576,Flower Shop
22,Roncesvalles,43.646231,-79.449048,Sunny Joe's Cafe,43.647262483135606,-79.44387584869017,Coffee Shop
23,Roncesvalles,43.646231,-79.449048,Kami Sushi,43.64394569923591,-79.44811664710394,Sushi Restaurant
24,Roncesvalles,43.646231,-79.449048,I Deal Coffee,43.646341750636346,-79.44345407778789,Coffee Shop
25,Roncesvalles,43.646231,-79.449048,Hot Oven Bakery,43.64458317682934,-79.44825247432367,Bakery
26,Roncesvalles,43.646231,-79.449048,Reunion Island Coffee Bar,43.65046251706493,-79.45060981846792,Coffee Shop
27,Roncesvalles,43.646231,-79.449048,A Good Read,43.64947021007538,-79.450339,Bookstore
28,Roncesvalles,43.646231,-79.449048,Tim Hortons,43.64445867986715,-79.44805361330509,Coffee Shop
29,Roncesvalles,43.646231,-79.449048,the Friendly Thai,43.64590686300198,-79.4488919470859,Thai Restaurant
30,Roncesvalles,43.646231,-79.449048,Chopin Restaurant,43.644164985026904,-79.44816243232444,Eastern European Restaurant
31,Roncesvalles,43.646231,-79.449048,Sorauren Park Farmer's Market,43.64809947354814,-79.44370165382314,Park
32,Roncesvalles,43.646231,-79.449048,Butler's Pantry,43.65008710183049,-79.45045784621456,Breakfast Spot
33,Roncesvalles,43.646231,-79.449048,Round The Horn,43.64915643217412,-79.45003959338368,Sports Bar
34,Roncesvalles,43.646231,-79.449048,Thai Chef Cuisine,43.64615789315189,-79.44890790507024,Thai Restaurant
35,Roncesvalles,43.646231,-79.449048,Sobeys Urban Fresh High Park,43.645237,-79.448627,Grocery Store
36,Roncesvalles,43.646231,-79.449048,Joe's Variety,43.64709884988753,-79.44941051555148,Convenience Store
37,Roncesvalles,43.646231,-79.449048,Scooter Girl,43.64492105569103,-79.44845003657372,Toy / Game Store
38,Roncesvalles,43.646231,-79.449048,Jac's Milk,43.645584429041996,-79.44891052353563,Convenience Store
39,Roncesvalles,43.646231,-79.449048,Kennel Cafe,43.64786,-79.449777,Pet Store
40,Roncesvalles,43.646231,-79.449048,Owl Optometry,43.645779855855444,-79.44877316261562,Optical Shop
41,Roncesvalles,43.646231,-79.449048,Victoria's Roncesvalles Bakery & Deli,43.64426091887694,-79.44817426660664,Bakery
42,Roncesvalles,43.646231,-79.449048,Guardian - Welcome Pharmacy,43.643355,-79.447471,Pharmacy
43,Roncesvalles,43.646231,-79.449048,Cinco Mexican,43.643116,-79.447856,Mexican Restaurant
44,Roncesvalles,43.646231,-79.449048,Imelda,43.642637,-79.447581,Shoe Store
45,Roncesvalles,43.646231,-79.449048,Livestock,43.64999865164418,-79.45052587255769,Clothing Store
46,Roncesvalles,43.646231,-79.449048,Frock,43.64196178039603,-79.44729452404584,Clothing Store
